uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID
2.0,3.0,U,ZA,N,1997.0,10713.065381857143,685.862112375263,1968.7338092669522,1438.311249734922,4503.0,71.23982979590069,1006.0640103691128,210.07558085748698,268.0,0.0,1.0,293.7171434790359,0.0,32.29298773005972,U,NORTH FLORIDA AREA,Y,N,170.11477047164038,2.126098085424139,1.0,WCMB,0.5879104717234431,0.0,O,2.6664074519888294,S,B,3.282924887136495,,1.0,1.9712993423411809,C,L,0.42548676587699985,S,U,U,U,U,U,Y,126.47953569661615,11
2.0,1.0,U,A,N,4672.0,15272.896133717837,2708.6495746205283,1189.4217247415586,16823.538490556777,0.0,60.15566144864698,1259.0222507534938,164.4376414519312,1672.0,0.0,74.0,1248.540608735439,426.1640598806364,35.07007952099231,C,NORTH FLORIDA AREA,T,N,9.989997864,1.0,1.0,WCMB,0.0,0.0,O,8.110474736618897,,B,1.1939286350262504,M,1.3224680195465153,1.7491282029659574,,,0.06528724443652723,N,U,U,U,U,U,Y,365.2373975492188,12
2.0,1.0,U,AA,N,7581.0,1854.8261040652988,1266.9379941674972,663.3937048251445,17292.493283007316,0.0,90.17868118651039,137.997640044682,218.37156785864758,273.0,0.0,115.0,1120.3160881601782,175.66992003969983,82.22454799685691,U,DC/MARYLAND/VIRGINIA AREA,Y,R,66.1863487298094,1.6935950976202543,1.1240220396024405,WCMB,0.4268658691195448,0.0,O,4.9470220522987205,S,S,1.1943705302025722,,,,I,A,0.261455327376166,N,U,U,U,Y,U,N,477.66193611843505,13
3.0,1.0,U,AA,N,2654.0,0.0,532.5167516839474,70.25526150823077,3698.7648745528313,4066.0,43.74414285878719,0.0,0.0,832.0,237.0,76.0,1217.5291221100968,282.8342519896435,4.891874994180171,U,CALIFORNIA NORTH AREA,Y,N,158.22542072107757,2.7566375825833167,1.610983456348427,WCMB,0.3838323896889667,0.24247247527257476,O,4.062308187611761,,M,3.554268455175025,M,2.143269349380351,2.224393543772619,,A,0.005227840718210142,H,U,U,U,U,U,Y,629.3539393208491,14
2.0,2.0,N,A,Y,2360.0,0.0,173.77897184815424,1162.9204691341383,25301.17233384616,6770.0,65.1720199455623,355.2703538974039,487.3341581491651,796.0,0.0,86.0,,53.29914374475828,55.34467930255687,C,CALIFORNIA NORTH AREA,N,N,113.65230228857496,3.3228329626394504,1.0,WCMB,0.0,0.0,O,3.3718854448652396,S,M,1.0,M,2.06581696258024,,,,0.0,U,U,U,U,U,U,Y,783.2703470160552,15
1.0,1.0,Y,AA,N,499.0,1879.165165044169,3.65,2.4,1453.4059940972538,1941.0,79.7998144548914,1587.1622563264084,445.18380791038635,0.0,304.0,11.0,208.5236512164816,137.47942153934895,53.20762918596915,S,ATLANTIC SOUTH AREA,Y,N,92.61435634357416,3.798437333258783,2.3470979736452846,,0.0,0.24205253779318964,,,S,A,1.0,M,4.342765081709695,,,,0.05231188632804894,N,U,U,U,U,U,N,519.620810663187,16
2.0,1.0,U,DA,N,0.0,6300.683952243753,323.67607558385,1189.0304137813469,16398.345342949975,10895.0,126.56758393152569,342.5898923070473,0.0,1302.0,166.0,76.0,535.6845434312712,456.1633073590606,84.2252076032978,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,158.1001140532769,1.0,1.7112369510059964,WCMB,,0.10521394760887459,,,M,M,1.6548770441108935,M,,1.678024936171521,C,A,0.2594328891345459,N,U,U,U,U,U,N,604.3995427251092,17
1.0,2.0,U,CA,N,3144.0,3176.3715365957505,1679.4468342933715,1225.1000534722632,20047.775718230405,0.0,114.4618399389638,944.9200105411438,270.44998335743054,854.0,197.0,23.0,408.7788341805873,244.8521061659012,91.42479437502139,U,OHIO AREA,Y,N,88.28104480715939,1.2537384948608759,1.0,WCMB,0.04692049215193625,0.663420239921606,O,,S,S,1.2483269730329873,M,6.898565502504495,,,A,0.152337535230615,H,U,,U,U,U,N,510.8509227969024,18
2.0,2.0,U,BA,N,186.0,1726.6597467621668,667.70638132098,777.3175975670637,0.0,282.0,103.69664372106041,34.347517295260445,0.0,603.0,93.0,62.0,925.9217446733525,581.2194511494649,52.16805959124427,S,CENTRAL/SOUTH TEXAS AREA,Y,N,68.57889078913489,1.0,1.741593759268986,WCMB,0.4720260515258656,0.028342969945554387,O,11.298723309638024,S,M,3.5506207113282535,M,6.383567924722342,,,,0.0988475612602233,U,U,U,U,U,U,Y,684.0263350038664,19
1.0,0.0,N,A,N,0.0,12570.098189721433,214.69310715517452,882.5080077392875,12511.000545118099,3363.0,84.20740381864513,120.21919420966952,187.62892618087298,1084.0,127.0,83.0,504.3719265525359,341.28014790974817,55.181725097228615,U,NEW ENGLAND AREA,Y,N,147.70204155073327,2.9120704366965273,1.0,WCMB,0.0,0.2528764991654839,O,3.257890983139705,S,A,,M,6.099004092868455,,,,0.4623902435699759,U,U,U,U,U,U,Y,616.7667882448744,20
1.0,1.0,U,A,N,4478.0,11659.472741747693,308.5026679001926,2.4,0.0,4581.0,42.316506899194266,448.73876274382195,0.0,494.0,8.0,46.0,388.824580937194,56.27767649124267,57.24951675256245,T,HOUSTON AREA,Y,N,218.699037950533,2.060098767140863,3.41723868741051,WCMB,0.8066852846330612,0.0,,,,M,4.28746065843474,M,,,C,,0.14497196998404466,H,U,U,U,U,U,Y,63.1831346719722,21
1.0,2.0,U,BA,N,0.0,9378.15169324277,1585.8720410400479,2124.2552515935713,14630.329008216762,643.0,84.18640972166145,1408.796127303011,124.52213953429614,990.0,26.0,97.0,1333.116908156939,259.0620065788613,46.131722870601436,S,DC/MARYLAND/VIRGINIA AREA,Y,N,9.989997864,1.773095657616256,1.0,WCMB,0.0,0.0,,15.0,S,U,4.2606404302957515,M,2.815938051798942,1.2529554492999955,C,,0.5201703905669048,S,U,U,U,Y,U,N,311.9414910340029,22
3.0,2.0,U,AA,Y,5933.0,14724.502811821749,962.6151009124,676.7631177603039,0.0,0.0,29.98762556493393,966.1623234422264,91.69657011162045,0.0,0.0,52.0,347.01578025989284,485.76381227877266,111.34298355368286,S,MIDWEST AREA,Y,N,53.989483123778186,1.7047225007615736,1.0,,0.0,0.0640724599758874,O,5.110070961069804,,M,3.668498506775148,M,8.307878702060805,,A,,0.24908227761676072,S,U,U,U,U,U,,553.4965349606443,23
1.0,1.0,U,AA,N,4710.0,1960.437902256739,496.9776322744309,143.38757325188385,12423.653455197542,5166.0,50.45669089407472,0.0,367.68419520627583,956.0,472.0,72.0,,218.61424186515907,79.13490171739247,T,NEW ENGLAND AREA,Y,R,83.12347518961766,2.5339533138068213,1.1424543891452812,WCMB,0.0,0.14681097967158135,O,9.74550463616568,,S,1.0,M,5.784533698534782,,H,,0.20237688178986563,O,U,U,U,U,U,Y,485.95091838873896,24
1.0,1.0,Y,AA,N,1360.0,0.0,768.8982314969304,1417.7198597142767,14035.35904613884,3337.0,122.2219460637381,776.0780841500953,453.56599156325206,618.0,104.0,147.0,310.00195302614134,296.29877977666285,110.29307021982089,U,NEW ENGLAND AREA,Y,R,67.46470981218931,1.0,1.646646803203339,WC,0.11381089303292591,0.057942956717582844,O,5.515081730858175,S,M,3.757720972878891,M,7.05434356335468,,C,J,0.24030947852709922,S,U,U,U,U,U,N,575.9905816764988,25
1.0,1.0,N,AA,N,2637.0,3121.5285972843294,2913.339275218127,1053.165577876553,17173.781411179356,1542.0,77.36794580477249,0.0,457.34382298346,626.0,0.0,82.0,1041.6771545471734,436.5142358862623,22.94724537831643,R,NEW YORK CITY AREA,Y,N,105.56626311088525,2.828750161905095,1.1724481223613208,WCMB,0.28175528102649505,0.0,O,,S,M,,M,5.073270267905317,,C,A,0.0,N,U,U,U,U,U,Y,593.4501746292873,26
2.0,2.0,U,CA,N,0.0,2523.8038937848996,2072.150669293891,659.0491004496246,15197.617467143165,4710.0,66.12291755489957,184.8718373910565,367.9387949916695,70.0,230.0,24.0,602.900222034064,0.0,109.68089656584297,S,DALLAS AREA,N,N,100.55641229140831,2.2204845467139527,1.0,WC,0.32646136291231687,0.3122500912509218,,10.268894764229223,S,U,2.592198595740657,,5.754531606478217,,C,,0.0,N,U,U,U,U,U,Y,972.9832533385306,27
2.0,0.0,U,AA,N,5722.0,0.0,2284.526563319976,570.244237479801,8026.725995009073,2324.0,70.77679594951675,707.5251381414982,187.3862115791618,403.0,25.0,37.0,737.3320263852657,306.5088640433228,63.55516006587961,C,NEW YORK CITY AREA,Y,N,27.355901092852704,3.1617343558355753,1.6146190313922093,,0.0,0.21845749685128363,,11.940762659469607,M,U,3.671629661877856,,6.970532673938472,,B,,0.04591108483959831,H,U,U,Y,U,U,Y,419.37572426233424,28
2.0,1.0,U,AA,N,3587.0,2920.16141590778,3.65,955.374063422566,4276.161040743231,2311.0,54.5208945851066,1096.919873107701,238.72037965862143,387.0,172.0,100.0,626.8452680296346,424.4609705218851,86.57014210865951,T,DC/MARYLAND/VIRGINIA AREA,Y,N,136.77717992437937,1.3156440372690932,1.0156621245676336,WCMB,0.14906730443928567,0.3640378096993861,O,0.7846164518063183,S,S,2.0503766964121835,M,,,C,B,0.5475719752088598,I,U,U,U,U,Y,Y,696.3089100091898,29
2.0,2.0,U,ZA,Y,3870.0,17223.615574801584,903.0487205522504,2090.8268296464116,6906.946610134531,2173.0,0.48,1075.3595103064606,237.90470468525768,0.0,128.0,108.0,0.0,38.115943151321886,-2.0,R,SOUTHWEST AREA,N,N,94.46066097698707,1.8548870158059856,1.0,WCMB,0.03908391464778996,0.08933620019356713,O,0.0,S,S,1.0,M,3.373403525703921,1.4381115277647358,C,A,0.11559882565396883,S,U,U,U,U,Y,N,216.84708241429368,30
4.0,1.0,N,Y,N,4780.0,14589.006773880945,481.97952240389316,1354.6107189980198,0.0,0.0,12.1919587792081,629.1135588400573,0.0,711.0,468.0,57.0,0.0,369.3655754306892,124.97180592097422,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,178.14318517976318,3.2275826022223626,2.971842559036422,,0.6971683970140782,0.45848597578071304,O,9.158464399185188,,U,1.5729191273204282,M,4.462490188388415,2.186280685032476,,A,0.0,N,U,U,U,U,U,Y,367.32972554492596,31
1.0,2.0,Y,A,N,442.0,12199.900344153508,1495.7703762954443,931.202695414538,5726.880115827262,0.0,80.23396776617493,635.2746344617101,365.8690496622562,1359.0,106.0,1.0,371.18064677887406,177.41591559677622,76.63710428236789,U,DC/MARYLAND/VIRGINIA AREA,Y,N,167.0014388403868,1.0,1.1759806619716895,WC,0.0,0.04201182713517187,,12.419422351163309,S,M,4.593565025916191,M,1.5032338631419924,,,,0.27323828948198736,I,U,U,U,U,U,Y,518.2228292672504,32
1.0,1.0,U,A,Y,0.0,8789.039277451862,1935.8422355019534,1676.301592814753,5047.817656831609,862.0,24.625729658052407,1074.0205768436108,289.3631302892302,0.0,338.0,15.0,665.9580687588387,0.0,134.64748951270968,U,ATLANTIC SOUTH AREA,Y,N,88.90064139520041,3.385108805191634,1.2358914811324526,WCMB,0.3561465723485108,,,6.208199205109547,S,M,2.122228943759184,M,6.88005571686322,1.9490495888458352,,,0.11835497580401247,S,U,U,U,U,U,,505.1691468883586,33
1.0,2.0,U,EA,N,6506.0,20205.32737068958,1310.3363571978562,983.2430199146964,771.663661843224,2957.0,54.023392223590875,0.0,297.1577380617817,781.0,317.0,68.0,20.765877718433842,322.830370965916,103.9998420276624,C,CHICAGO AREA,Y,N,134.2444984658734,1.4474624223298789,1.6733546532069083,WCMB,0.2616154042469008,0.11847849524497173,,4.663221641112377,,U,3.9319902142141343,M,4.127210302238463,,C,,0.05016064835385134,H,U,U,U,U,U,N,832.3875950487749,34
2.0,2.0,U,AA,N,5488.0,0.0,287.78873549639184,1297.4840314556436,0.0,0.0,13.527902512526907,1284.9947102874887,0.0,295.0,0.0,86.0,5.451109030637099,176.61984429641,-2.0,S,LOS ANGELES AREA,Y,N,9.989997864,2.81607754282496,1.9828318020882296,WCMB,0.7266623951951148,0.0,O,6.343390304316479,S,U,,M,5.990715552819077,,,A,0.0,U,U,U,U,U,U,N,345.4503459400863,35
3.0,2.0,U,A,N,848.0,0.0,468.14174722606083,1087.084638290713,0.0,6385.0,31.92660563471546,161.00941361390392,249.5369117617111,234.0,217.0,106.0,354.5272998117755,164.7782953879263,120.70123981212024,U,NEW YORK CITY AREA,N,N,9.989997864,2.8561679873903136,1.7818982106578998,WCMB,0.38348582124062824,0.14646481239411788,O,10.299670817662818,,U,,M,3.8471540440880867,1.0,C,,0.0,Z,U,U,U,U,U,Y,168.7456375637993,36
1.0,1.0,U,AA,N,4428.0,17392.134361226148,1561.2145413436415,1455.6278231234764,0.0,2906.0,57.75972909072036,598.0017232564336,342.32581405650296,560.0,34.0,1.0,1168.349870341706,296.42567752896383,66.30096393349392,S,NEW YORK CITY AREA,Y,N,168.4639895058537,1.5539168356023756,1.0,WC,0.0,0.15794161026068243,O,8.825732943703585,S,M,,M,,1.0,C,A,0.23713666237412534,H,U,U,U,U,U,,96.95979697704615,37
1.0,1.0,Y,A,Y,7646.0,7887.603280960022,1646.0808064449352,586.954555566289,4900.126994414347,0.0,91.32182580241903,266.126875184809,170.9963138972266,568.0,0.0,100.0,0.0,4.925074593018422,84.84723695090142,S,TENNESSEE AREA,Y,N,,1.8312890708170688,1.2625921760931993,WCMB,0.99146105027799,0.0,,1.6625416213866115,,S,1.8273747551557769,M,9.0,1.7559947771620044,I,A,0.0,F,U,U,,U,U,Y,43.14045740452286,38
1.0,1.0,U,CY,N,7194.0,1831.5579103874734,1152.1443254930914,2.868905966921716,10644.760827987559,8909.0,98.57096186333149,0.0,89.5177895727458,618.0,0.0,126.0,0.0,319.3931188967211,80.77139114851099,T,NEW YORK CITY AREA,Y,N,179.31461424824082,1.0,1.1865046178729193,WCMB,0.2709917895359233,0.0,O,0.04948260596422305,,M,1.0,M,4.778850750820946,1.1439792021471147,C,A,0.0,F,U,U,U,U,U,Y,4.543119977376534,39
2.0,1.0,U,EA,N,737.0,12431.650784426452,1142.624638351123,1722.0188783454885,0.0,2993.0,31.34840010893508,686.1270912123407,0.0,0.0,339.0,1.0,1371.5173033575027,11.673134240646334,54.66009182736141,U,GREAT LAKES AREA,Y,N,168.8108609642091,1.0,1.0,WCMB,0.7451970591048709,0.0,O,0.0,S,U,2.413590416862039,M,6.202101540953565,1.6086550978702547,C,,0.3116288303354553,N,U,U,Y,U,U,Y,640.0033951398946,40
2.0,2.0,Y,C2,N,0.0,3848.3643503434614,1074.6748755444173,2224.5083801755927,9580.85212836477,0.0,69.00461695325006,587.4438966670659,0.0,1101.0,690.0,59.0,0.0,454.8063746563995,42.198365293454515,T,NEW YORK CITY AREA,Y,R,9.989997864,1.9276637839608899,1.0,WCMB,0.3326685363792382,0.06306546340111174,O,6.6638194400300375,S,M,1.0,,7.929553251309067,1.6576456664158543,H,A,0.0,N,U,U,U,U,U,N,110.43963523360884,41
2.0,1.0,Y,EA,N,0.0,389.90030500611374,1261.4394636784205,42.744908197307495,6493.662789156475,8741.0,6.368487782340949,437.51320322737644,199.45532543451225,563.0,25.0,95.0,308.3257264440297,386.4966888937339,87.4444564315037,S,HOUSTON AREA,N,N,141.71939924878836,3.3317294964356323,2.531938700888975,WCMB,0.21220071359693257,0.0,O,,,A,,M,7.731702583915352,2.037317672997208,C,A,0.08113651447294326,N,U,U,U,U,U,Y,161.45740695146935,42
1.0,1.0,U,BA,N,1695.0,148.74190323031598,1642.5734818505348,1110.7471605359592,0.0,7926.0,59.95371175109857,416.78490009192063,134.15707739985749,837.0,222.0,1.0,0.0,459.3570948538596,24.764000821320906,C,GREAT LAKES AREA,N,R,54.021244641583536,1.5529405340160203,1.6514392516518277,WCMB,0.2692903120937252,0.43159785052534466,O,0.0,M,M,3.1154237791132,M,4.5303896848467975,2.0622657010514334,C,,0.0,N,U,U,U,U,U,Y,637.6244558261214,43
2.0,1.0,U,EA,N,8421.0,10435.090114723867,1569.3980533910822,582.9838956090541,3840.153488889354,0.0,92.38703925489634,1152.831713494659,131.80394701191813,1168.0,240.0,36.0,359.3605737418371,263.1940286880223,59.8351481876218,S,PHILADELPHIA AREA,Y,N,83.33903627744297,1.0,1.050571684264704,WC,0.0,0.0,O,1.613462225631225,S,M,1.7885383693879375,M,,,I,,0.4575773761293031,Z,Y,U,U,U,U,Y,153.3026190761778,44
2.0,1.0,U,BA,N,116.0,9432.075832475293,1052.0411820173854,1702.3005243362013,16577.860625019814,1623.0,55.48931124355341,1445.2382228845731,430.14552955690453,0.0,78.0,85.0,442.0258022792327,100.9425739304855,115.82097465603775,S,SOUTH FLORIDA AREA,Y,N,24.061141230581057,1.1654252252632533,1.835512971415655,WCMB,0.0,0.3178103386647383,O,,S,U,1.504315578482477,,7.751715975981401,1.8164188837083468,C,A,0.0,S,U,U,U,U,Y,Y,-5.0,45
2.0,1.0,Y,A,N,617.0,20793.33810217631,990.0903718346519,1167.3360766096591,0.0,1117.0,105.49078203803991,1033.1057436926021,0.0,856.0,452.0,35.0,1309.5938549045977,46.644810439923475,8.979343516377817,T,TENNESSEE AREA,Y,N,,1.1343728766470287,2.6300709445465342,WCMB,0.3314537608826994,0.0,,2.2285693448237316,M,M,3.8183514564728442,M,6.629740404799347,1.0,,A,0.3559761363945867,N,U,U,U,U,,Y,426.37397477437,46
2.0,2.0,U,AA,N,539.0,5134.288467512455,957.467604767101,3755.756632124594,8224.03099957677,0.0,88.17791483897794,605.3660429777069,115.53722084829809,432.0,604.0,42.0,867.5674448048977,35.73421417751544,50.57622304399565,S,NEW YORK CITY AREA,Y,N,131.66860590203015,1.3222495515435542,2.0051036883780404,WCMB,0.8659040966536486,0.45898962667776777,O,9.138559779673827,S,S,2.8467736139390634,M,,2.645647572016397,A,A,0.4217580895240627,N,U,U,U,U,U,Y,542.6028651915244,47
2.0,2.0,U,A,N,861.0,4986.435230688073,366.37512053303874,706.8559114018456,10525.26828270331,4056.0,66.6404390484829,0.0,457.8676602450796,1063.0,65.0,70.0,0.0,146.82810384769786,106.2938493834116,U,DALLAS AREA,Y,N,65.13049527034099,1.0,2.7581360240552506,WCMB,0.0,0.2994458659716984,O,,M,M,1.0,,7.5664799097053415,,C,J,0.10455161995083065,H,U,U,U,U,U,Y,118.14486735652622,48
2.0,2.0,U,AA,N,2835.0,20125.03174610743,355.54532303068765,2251.6996845399626,479.5335656334464,6011.0,48.88418412513745,758.7249919856554,121.17776161356574,92.0,515.0,5.0,0.0,52.958227839601776,25.338953077891247,T,NORTH FLORIDA AREA,Y,N,54.358639677483275,1.0,1.776705744582861,WC,0.4428681147909607,0.0,O,1.0273438842465943,S,,2.9851605276663324,M,6.7643375046110386,,,A,0.0,N,Y,U,U,U,U,N,659.8244833332988,49
2.0,2.0,U,A,N,0.0,16190.52922351833,1495.8693809202389,2333.4804904436655,16212.292808219723,5304.0,38.59177607025114,778.1212343768548,184.67921434599813,1019.0,75.0,9.0,757.8070298187286,237.7249232701726,-2.0,S,LOS ANGELES AREA,Y,N,149.05344023423288,1.0,2.155834198688538,WCMB,0.5866838385002289,0.108147671019738,,8.619623200018719,M,S,4.2888646327316255,M,8.590103255278418,,C,A,0.0,N,U,U,U,U,U,N,110.58247183653435,50
2.0,2.0,U,AA,N,6988.0,8904.133429443678,423.9137604933113,1408.4245406874995,11017.283086873307,2959.0,5.191866074867697,821.9445764608458,144.1696219484993,0.0,0.0,81.0,251.56214774820126,31.202266172555028,-2.0,R,DC/MARYLAND/VIRGINIA AREA,Y,N,53.82906468189086,4.490640486633087,1.3364426486375471,WCMB,0.4222134375682322,0.2332673973069847,O,0.19110097048508834,S,M,,M,,2.1122913281884292,C,A,0.11376635132598953,U,U,U,U,U,U,N,741.6881261267619,51
2.0,1.0,Y,BA,N,2328.0,0.0,1726.1352979772478,991.2678511742981,5381.167961877148,6376.0,11.079269996319852,0.0,292.0024970960522,734.0,153.0,104.0,150.49565181602787,64.67704498071677,39.52000477280534,S,ATLANTIC SOUTH AREA,Y,N,64.74886627727747,3.9862113751226795,2.6215836827186476,WCMB,0.0,0.48818311188331565,O,5.460026931941443,,B,4.106693710458802,M,6.950553664180098,1.0714287120205188,C,A,0.4345056328315775,I,U,U,U,U,U,Y,737.957995195838,52
1.0,1.0,U,AA,N,12275.0,612.3770372840636,988.1344044051414,1039.7913941169998,27858.10595707276,0.0,93.8919541546929,856.4669717385254,0.0,671.0,348.0,78.0,1098.073123228999,108.76793075438015,,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,57.13576463985203,1.0,3.0603769036949773,WCMB,0.29779428048064,0.0,O,5.3863809695341995,S,U,,,2.902796006840414,2.46826183724475,,,0.0,U,U,U,Y,U,U,Y,561.4235055657008,53
1.0,1.0,U,AA,N,0.0,0.0,1730.9639404782106,968.6853474131567,16249.314707783275,9667.0,112.65084676993868,1168.4589470790927,139.42658878101358,437.0,160.0,123.0,0.0,36.54081791401967,27.595283217321203,C,HOUSTON AREA,Y,N,56.521326430543,1.851955538826804,1.7148752721528997,WCMB,0.0,0.5485177346218766,,14.729522250970316,M,S,,M,1.1135679854706826,1.5360224078637734,C,A,0.3315280726417024,U,U,U,U,U,Y,Y,746.9524823351976,54
1.0,1.0,N,A,N,8904.0,7964.27528271631,1575.1919362661988,1912.2768718051548,0.0,0.0,18.822149506215005,52.86114422478903,182.691664246587,0.0,323.0,79.0,327.7002797975863,115.83709763778812,46.946532916490554,S,HOUSTON AREA,Y,R,143.30725790298777,1.0032101396829778,1.0,WCMB,0.9857262819221728,0.015260745117959038,O,3.0370441851779835,S,S,3.9638035325565584,M,7.658112246878405,1.0,C,,0.0,S,U,U,Y,U,Y,Y,440.2908506174246,55
1.0,1.0,U,AA,N,8152.0,3242.7959314688787,1750.8662526715839,226.94797936407952,4201.549719998828,353.0,60.379558893533186,783.9385936082986,6.03143335470719,323.0,224.0,145.0,822.9185461356203,285.04585573846475,60.847272142435855,C,MIDWEST AREA,N,N,115.72540910986649,1.5803454549430551,1.6567085643068964,WCMB,1.0,0.704227172506388,,3.2947167328578173,,U,5.2007573065489305,,7.81930413059087,,C,,0.27668847182818646,G,U,Y,U,U,Y,Y,90.64569078133707,56
